1.0000	1.0000	1.0000	0.0013	0.0000
1.0000	2.0000	0.9500	0.0114	0.0000
1.0000	3.0000	0.9000	0.0208	0.0000
1.0000	4.0000	0.8000	0.0375	0.0000
1.0000	5.0000	0.7000	0.0518	0.0000
1.0000	6.0000	0.6000	0.0636	0.0000
1.0000	7.0000	0.5000	0.0724	0.0000
1.0000	8.0000	0.4000	0.0780	0.0000
1.0000	9.0000	0.3000	0.0788	0.0000
1.0000	10.0000	0.2500	0.0767	0.0000
1.0000	11.0000	0.2000	0.0726	0.0000
1.0000	12.0000	0.1500	0.0661	0.0000
1.0000	13.0000	0.1000	0.0563	0.0000
1.0000	14.0000	0.0750	0.0496	0.0000
1.0000	15.0000	0.0500	0.0413	0.0000
1.0000	16.0000	0.0250	0.0299	0.0000
1.0000	17.0000	0.0125	0.0215	0.0000
1.0000	18.0000	0.0000	0.0000	0.0000
1.0000	19.0000	0.0125	-0.0165	0.0000
1.0000	20.0000	0.0250	-0.0227	0.0000
1.0000	21.0000	0.0500	-0.0301	0.0000
1.0000	22.0000	0.0750	-0.0346	0.0000
1.0000	23.0000	0.1000	-0.0375	0.0000
1.0000	24.0000	0.1500	-0.0410	0.0000
1.0000	25.0000	0.2000	-0.0423	0.0000
1.0000	26.0000	0.2500	-0.0422	0.0000
1.0000	27.0000	0.3000	-0.0412	0.0000
1.0000	28.0000	0.4000	-0.0380	0.0000
1.0000	29.0000	0.5000	-0.0334	0.0000
1.0000	30.0000	0.6000	-0.0276	0.0000
1.0000	31.0000	0.7000	-0.0214	0.0000
1.0000	32.0000	0.8000	-0.0150	0.0000
1.0000	33.0000	0.9000	-0.0082	0.0000
1.0000	34.0000	0.9500	-0.0048	0.0000
1.0000	35.0000	1.0000	-0.0013	0.0000
